sepaSite,date,weeklyAverageAf,actualBiomassOnSiteTonnes,maximumBiomassAllowedTonnes,total_AF
SAR1,2017-07-08,0.11714285714285712,884.741935483871,1500,42171.42857142856
SAR1,2017-07-09,0.12,883.4193548387096,1500,43200
SAR1,2017-07-10,0.12380952385714283,882.0967741935484,1500,44571.42858857142
SAR1,2017-07-11,0.1276190477142857,880.7741935483871,1500,45942.857177142854
SAR1,2017-07-12,0.13142857157142857,879.4516129032259,1500,47314.28576571428
SAR1,2017-07-13,0.13523809542857143,878.1290322580645,1500,48685.714354285716
SAR1,2017-07-14,0.1390476192857143,876.8064516129032,1500,50057.14294285714
SAR1,2017-07-15,0.1428571431428571,875.483870967742,1500,51428.571531428555
SAR1,2017-07-16,0.146666667,874.1612903225806,1500,52800.00012
SAR1,2017-07-17,0.14553571457142858,872.8387096774194,1500,52392.857245714295
SAR1,2017-07-18,0.1444047621428571,871.516129032258,1500,51985.714371428556
SAR1,2017-07-19,0.14327380971428572,870.1935483870968,1500,51578.57149714285
SAR1,2017-07-20,0.1421428572857143,868.8709677419355,1500,51171.42862285715
SAR1,2017-07-21,0.14101190485714288,867.5483870967741,1500,50764.285748571434
SAR1,2017-07-22,0.13988095242857143,866.2258064516129,1500,50357.14287428572
SAR1,2017-07-23,0.13875,864.9032258064516,1500,49950.00000000001
SAR1,2017-07-24,0.14035714285714287,863.5806451612904,1500,50528.571428571435
SAR1,2017-07-25,0.1419642857142857,862.258064516129,1500,51107.142857142855
SAR1,2017-07-26,0.14357142857142857,860.9354838709678,1500,51685.71428571429
SAR1,2017-07-27,0.14517857142857143,859.6129032258065,1500,52264.28571428571
SAR1,2017-07-28,0.1467857142857143,858.2903225806451,1500,52842.857142857145
SAR1,2017-07-29,0.14839285714285713,856.9677419354839,1500,53421.428571428565
SAR1,2017-07-30,0.15,855.6451612903226,1500,54000
SAR1,2017-07-31,0.14857142857142858,854.3225806451613,1500,53485.71428571429
SAR1,2017-08-01,0.14714285714285713,853,1500,52971.428571428565
SAR1,2017-08-02,0.1457142857142857,848.1935483870968,1500,52457.142857142855
SAR1,2017-08-03,0.1442857142857143,843.3870967741935,1500,51942.857142857145
SAR1,2017-08-04,0.14285714285714288,838.5806451612904,1500,51428.571428571435
SAR1,2017-08-05,0.14142857142857143,833.7741935483871,1500,50914.28571428571
SAR1,2017-08-06,0.14,828.9677419354839,1500,50400.00000000001
